date,diff
28:14.1,183
28:14.1,180.5
28:14.2,139
28:14.2,122
28:14.2,80
28:14.2,95
28:14.3,224
28:14.4,191
28:14.4,161
28:14.4,103
28:14.5,87
28:14.5,85
28:14.5,32
28:14.5,12
28:14.6,221.5
28:14.6,195
28:14.6,135
28:14.7,98.5
28:14.7,102
28:14.8,219
28:14.8,215.66667
28:14.9,162
28:14.9,164
28:15.0,81
28:15.0,38
28:15.0,28
28:15.1,181
28:15.1,142
28:15.1,155
28:15.1,152
28:15.1,157
28:15.1,131
28:15.1,130
28:15.2,18
28:15.2,26
28:15.3,212
28:15.3,154
28:15.3,154
28:15.4,96
28:15.4,17.5
28:15.6,113
28:15.6,61
28:15.7,223
28:15.7,204
28:15.7,179
28:15.8,141
28:15.8,104.5
28:15.8,100
28:15.8,87
28:15.8,63
28:15.8,66
28:15.9,14
28:16.0,225
28:16.0,190
28:16.0,181
28:16.1,76
28:16.1,40
28:16.1,37.5
28:16.2,218
28:16.2,206.5
28:16.2,156
28:16.2,184
28:16.3,97.5
28:16.3,95
28:16.3,90
28:16.4,55
28:16.4,30
28:16.4,186
28:16.5,177.5
28:16.5,175
28:16.5,109
28:16.5,97
28:16.6,39.5
28:16.6,212
28:16.7,135
28:16.7,137.5
28:16.8,33
28:16.8,28.5
28:16.9,210
28:16.9,196
28:16.9,201
28:16.9,122
28:17.0,114
28:17.0,72
28:17.1,213
28:17.1,178
28:17.1,182
28:17.1,188
28:17.1,166
28:17.1,203
28:17.2,57
28:17.2,47
28:17.3,27
28:17.3,201
28:17.4,208
28:17.4,180
28:17.4,159
28:17.4,101
28:17.6,215
28:17.6,197
28:17.6,148
28:17.7,85
28:17.7,42
28:17.8,191
28:17.8,188
28:17.8,162
28:17.8,170
28:17.9,150
28:17.9,94
28:18.0,42
28:18.0,40
28:18.0,10
28:18.0,219
28:18.0,174
28:18.1,111
28:18.1,77
28:18.1,76
28:18.2,70
28:18.2,28
28:18.2,206.5
28:18.2,209
28:18.3,126
28:18.3,122
28:18.3,116
28:18.4,59
28:18.5,234
28:18.5,240
28:18.5,256
28:18.5,214
28:18.5,191
28:18.5,134
28:18.6,99.5
28:18.6,53
28:18.6,81.5
28:18.7,213
28:18.7,224
28:18.8,122
28:18.8,118
28:18.9,83
28:18.9,211
28:18.9,212
28:19.0,203
28:19.1,82
28:19.1,53
28:19.1,52
28:19.1,50
28:19.1,53
28:19.1,39
28:19.1,40
28:19.1,30
28:19.2,138
28:19.2,140
28:19.3,116
28:19.3,23
28:19.4,25
28:19.4,215
28:19.4,198
28:19.4,146
28:19.5,136
28:19.6,39
28:19.6,19
28:19.6,199.5
28:19.6,190
28:19.7,108
28:19.7,85
28:19.8,230.5
28:19.8,255
28:19.9,233
28:19.9,133
28:20.0,100.5
28:20.0,46
28:20.0,83
28:20.0,79
28:20.1,217
28:20.1,199
28:20.1,165
28:20.2,162
28:20.2,156
28:20.2,115
28:20.2,77
28:20.2,62
28:20.2,76
28:20.3,215
28:20.3,214
28:20.3,219
28:20.3,214
28:20.4,152
28:20.5,79.5
28:20.5,82.5
28:20.5,74
28:20.5,36
28:20.5,217
28:20.6,165
28:20.6,143
28:20.6,127
28:20.7,43
28:20.7,23
28:20.8,210
28:20.8,170
28:20.8,176.5
28:20.8,168
28:20.8,137
28:20.9,124
28:20.9,27
28:20.9,48
28:21.0,41
28:21.0,39
28:21.1,125
28:21.1,104
28:21.1,91
28:21.1,97
28:21.1,76
28:21.1,70
28:21.2,264
28:21.2,228
28:21.2,230
28:21.3,205
28:21.3,146
28:21.3,63
28:21.4,115
28:21.4,110
28:21.4,19
28:21.5,210
28:21.5,217
28:21.6,129
28:21.6,112
28:21.6,80
28:21.6,63
28:21.7,203
28:21.7,198
28:21.7,174
28:21.8,72
28:21.8,77
28:21.9,56
28:21.9,41
28:21.9,3
28:22.0,167
28:22.0,132
28:22.0,132
28:22.0,125
